year,CO2,CH4,N2O
1950,4.99,39.52,1.67
1951,5.07,40.22,1.70
1952,5.17,40.97,1.73
1953,5.27,41.76,1.76
1954,5.37,42.58,1.80
1955,5.48,43.44,1.83
1956,5.59,44.32,1.87
1957,5.70,45.22,1.91
1958,5.82,46.15,1.95
1959,5.93,47.02,1.98
1960,6.03,47.81,2.02
1961,6.13,48.59,2.05
1962,6.25,49.52,2.09
1963,6.38,50.62,2.14
1964,6.53,51.75,2.18
1965,6.67,52.86,2.23
1966,6.81,53.97,2.28
1967,6.95,55.07,2.32
1968,7.09,56.20,2.37
1969,7.24,57.38,2.42
1970,7.39,58.57,2.47
1971,7.54,59.77,2.52
1972,7.69,60.96,2.57
1973,7.84,62.16,2.62
1974,7.99,63.36,2.67
1975,8.14,64.54,2.72
1976,8.29,65.70,2.77
1977,8.43,66.87,2.82
1978,8.58,68.04,2.87
1979,8.74,69.26,2.92
1980,8.89,70.51,2.98
1981,9.06,71.80,3.03
1982,9.22,73.13,3.09
1983,9.39,74.47,3.14
1984,9.56,75.81,3.20
1985,9.74,77.19,3.26
1986,9.91,78.60,3.32
1987,10.10,80.06,3.38
1988,10.28,81.52,3.44
1989,10.47,82.98,3.50
1990,10.65,84.46,3.57
1991,10.84,85.91,3.63
1992,11.01,87.29,3.68
1993,11.18,88.65,3.74
1994,11.35,89.98,3.80
1995,11.52,91.30,3.85
1996,11.68,92.62,3.91
1997,11.85,93.93,3.96
1998,12.01,95.23,4.02
1999,12.18,96.53,4.07
2000,12.34,97.84,4.13
2001,12.51,99.16,4.19
2002,12.67,100.48,4.24
2003,12.84,101.79,4.30
2004,13.00,103.10,4.35
2005,13.17,104.43,4.41
2006,13.34,105.77,4.46
2007,13.51,107.13,4.52
2008,13.69,108.51,4.58
2009,13.86,109.91,4.64
2010,14.04,111.32,4.70
2011,14.22,112.73,4.76
2012,14.40,114.16,4.82
2013,14.58,115.60,4.88
2014,14.76,117.02,4.94
2015,14.94,118.43,5.00
2016,15.11,119.83,5.06
2017,15.29,121.21,5.12
2018,15.46,122.55,5.17
2019,15.62,123.84,5.23
2020,15.77,125.04,5.28
2021,15.91,126.11,5.32
2022,16.04,127.17,5.37
2023,16.18,128.28,5.41
2024,16.32,129.40,5.46
2025,16.46,130.50,5.51
2026,16.60,131.60,5.55
2027,16.73,132.68,5.60
2028,16.87,133.75,5.65
2029,17.00,134.81,5.69
2030,17.13,135.85,5.73
2031,17.26,136.88,5.78
2032,17.39,137.90,5.82
2033,17.52,138.90,5.86
2034,17.64,139.89,5.90
2035,17.77,140.86,5.95
2036,17.89,141.82,5.99
2037,18.01,142.76,6.03
2038,18.12,143.69,6.07
2039,18.24,144.60,6.10
2040,18.35,145.49,6.14
2041,18.46,146.36,6.18
2042,18.57,147.22,6.21
2043,18.67,148.05,6.25
2044,18.78,148.86,6.28
2045,18.88,149.65,6.32
2046,18.97,150.42,6.35
2047,19.07,151.16,6.38
2048,19.16,151.87,6.41
2049,19.24,152.56,6.44
2050,19.33,153.21,6.47
2051,19.40,153.85,6.49
2052,19.48,154.45,6.52
2053,19.55,155.03,6.54
2054,19.62,155.57,6.57
2055,19.69,156.10,6.59
2056,19.75,156.60,6.61
2057,19.81,157.07,6.63
2058,19.87,157.52,6.65
2059,19.92,157.95,6.67
2060,19.97,158.36,6.68
2061,20.02,158.76,6.70
2062,20.07,159.13,6.72
2063,20.12,159.49,6.73
2064,20.16,159.83,6.75
2065,20.20,160.15,6.76
2066,20.24,160.46,6.77
2067,20.28,160.75,6.79
2068,20.31,161.03,6.80
2069,20.34,161.29,6.81
2070,20.37,161.54,6.82
2071,20.40,161.76,6.83
2072,20.43,161.98,6.84
2073,20.45,162.17,6.85
2074,20.48,162.35,6.85
2075,20.50,162.51,6.86
2076,20.51,162.65,6.87
2077,20.53,162.77,6.87
2078,20.54,162.87,6.88
2079,20.55,162.96,6.88
2080,20.56,163.02,6.88
2081,20.57,163.07,6.88
2082,20.57,163.10,6.88
2083,20.57,163.12,6.89
2084,20.57,163.12,6.89
2085,20.57,163.11,6.89
2086,20.57,163.08,6.88
2087,20.56,163.04,6.88
2088,20.56,162.99,6.88
2089,20.55,162.92,6.88
2090,20.54,162.84,6.87
2091,20.53,162.75,6.87
2092,20.51,162.65,6.87
2093,20.50,162.53,6.86
2094,20.48,162.41,6.86
2095,20.47,162.27,6.85
2096,20.45,162.12,6.84
2097,20.43,161.95,6.84
2098,20.41,161.78,6.83
2099,20.38,161.59,6.82
2100,20.36,161.39,6.81
