year,CO2,CH4,N2O
1950,4.99,39.52,1.67
1951,5.07,40.22,1.7
1952,5.17,40.97,1.73
1953,5.27,41.76,1.76
1954,5.37,42.58,1.8
1955,5.48,43.44,1.83
1956,5.59,44.32,1.87
1957,5.7,45.22,1.91
1958,5.82,46.15,1.95
1959,5.93,47.02,1.98
1960,6.03,47.81,2.02
1961,6.13,48.59,2.05
1962,6.25,49.52,2.09
1963,6.38,50.62,2.14
1964,6.53,51.75,2.18
1965,6.67,52.86,2.23
1966,6.81,53.97,2.28
1967,6.95,55.07,2.32
1968,7.09,56.2,2.37
1969,7.24,57.38,2.42
1970,7.39,58.57,2.47
1971,7.54,59.77,2.52
1972,7.69,60.96,2.57
1973,7.84,62.16,2.62
1974,7.99,63.36,2.67
1975,8.14,64.54,2.72
1976,8.29,65.7,2.77
1977,8.43,66.87,2.82
1978,8.58,68.04,2.87
1979,8.74,69.26,2.92
1980,8.89,70.51,2.98
1981,9.06,71.8,3.03
1982,9.22,73.13,3.09
1983,9.39,74.47,3.14
1984,9.56,75.81,3.2
1985,9.74,77.19,3.26
1986,9.91,78.6,3.32
1987,10.1,80.06,3.38
1988,10.28,81.52,3.44
1989,10.47,82.98,3.5
1990,10.65,84.46,3.57
1991,10.84,85.91,3.63
1992,11.01,87.29,3.68
1993,11.18,88.65,3.74
1994,11.35,89.98,3.8
1995,11.52,91.3,3.85
1996,11.68,92.62,3.91
1997,11.85,93.93,3.96
1998,12.01,95.23,4.02
1999,12.18,96.53,4.07
2000,12.34,97.84,4.13
2001,12.51,99.16,4.19
2002,12.67,100.48,4.24
2003,12.84,101.79,4.3
2004,13,103.1,4.35
2005,13.17,104.43,4.41
2006,13.34,105.77,4.46
2007,13.51,107.13,4.52
2008,13.69,108.51,4.58
2009,13.86,109.91,4.64
2010,14.04,111.32,4.7
2011,14.22,112.73,4.76
2012,14.4,114.16,4.82
2013,14.58,115.6,4.88
2014,14.76,117.02,4.94
2015,14.94,118.43,5
2016,15.11,119.83,5.06
2017,15.29,121.21,5.12
2018,15.46,122.55,5.17
2019,15.62,123.84,5.23
2020,15.77,125.04,5.28
2021,15.91,126.11,5.32
2022,16.04,127.17,5.37
2023,16.18,128.28,5.41
2024,16.32,129.4,5.46
2025,16.46,130.5,5.51
2026,16.6,131.6,5.55
2027,16.43,129.22,5.49
2028,16.26,126.77,5.41
2029,16.08,124.25,5.34
2030,15.89,121.67,5.26
2031,15.7,119.02,5.18
2032,15.5,116.3,5.1
2033,15.3,113.52,5.02
2034,15.09,110.68,4.93
2035,14.87,107.77,4.84
2036,14.65,104.81,4.75
2037,14.42,101.78,4.66
2038,14.19,98.69,4.57
2039,13.95,95.54,4.47
2040,13.7,92.33,4.37
2041,13.45,89.06,4.27
2042,13.19,85.74,4.16
2043,12.93,82.36,4.06
2044,12.66,78.93,3.95
2045,12.38,75.44,3.84
2046,12.1,71.9,3.73
2047,11.82,68.31,3.62
2048,11.53,64.67,3.5
2049,11.23,60.98,3.39
2050,10.93,57.24,3.27
2051,10.97,57.48,3.28
2052,11.02,57.7,3.29
2053,11.06,57.92,3.31
2054,11.1,58.12,3.32
2055,11.14,58.32,3.33
2056,11.17,58.5,3.34
2057,11.2,58.68,3.35
2058,11.24,58.85,3.36
2059,11.27,59.01,3.37
2060,11.3,59.17,3.38
2061,11.32,59.31,3.39
2062,11.35,59.45,3.39
2063,11.38,59.58,3.4
2064,11.4,59.71,3.41
2065,11.42,59.83,3.42
2066,11.45,59.95,3.42
2067,11.47,60.06,3.43
2068,11.49,60.16,3.43
2069,11.51,60.26,3.44
2070,11.52,60.35,3.45
2071,11.54,60.44,3.45
2072,11.55,60.51,3.45
2073,11.57,60.59,3.46
2074,11.58,60.65,3.46
2075,11.59,60.71,3.47
2076,11.6,60.77,3.47
2077,11.61,60.81,3.47
2078,11.62,60.85,3.47
2079,11.62,60.88,3.48
2080,11.63,60.91,3.48
2081,11.63,60.92,3.48
2082,11.64,60.94,3.48
2083,11.64,60.94,3.48
2084,11.64,60.94,3.48
2085,11.64,60.94,3.48
2086,11.63,60.93,3.48
2087,11.63,60.91,3.48
2088,11.63,60.89,3.48
2089,11.62,60.87,3.47
2090,11.62,60.84,3.47
2091,11.61,60.8,3.47
2092,11.6,60.77,3.47
2093,11.59,60.72,3.47
2094,11.59,60.68,3.46
2095,11.58,60.62,3.46
2096,11.56,60.57,3.46
2097,11.55,60.51,3.45
2098,11.54,60.44,3.45
2099,11.53,60.37,3.45
2100,11.51,60.3,3.44
