year,CO2,CH4,N2O
1950,0.00,0.00,0.00
1951,0.00,0.00,0.00
1952,0.00,0.00,0.00
1953,0.00,0.00,0.00
1954,0.00,0.00,0.00
1955,0.00,0.00,0.00
1956,0.00,0.00,0.00
1957,0.00,0.00,0.00
1958,0.00,0.00,0.00
1959,0.00,0.00,0.00
1960,0.00,0.00,0.00
1961,0.00,0.00,0.00
1962,0.00,0.00,0.00
1963,0.00,0.00,0.00
1964,0.00,0.00,0.00
1965,0.00,0.00,0.00
1966,0.00,0.00,0.00
1967,0.00,0.00,0.00
1968,0.00,0.00,0.00
1969,0.00,0.00,0.00
1970,0.00,0.00,0.00
1971,0.00,0.00,0.00
1972,0.00,0.00,0.00
1973,0.00,0.00,0.00
1974,0.00,0.00,0.00
1975,0.00,0.00,0.00
1976,0.00,0.00,0.00
1977,0.00,0.00,0.00
1978,0.00,0.00,0.00
1979,0.00,0.00,0.00
1980,0.00,0.00,0.00
1981,0.00,0.00,0.00
1982,0.00,0.00,0.00
1983,0.00,0.00,0.00
1984,0.00,0.00,0.00
1985,0.00,0.00,0.00
1986,0.00,0.00,0.00
1987,0.00,0.00,0.00
1988,0.00,0.00,0.00
1989,0.00,0.00,0.00
1990,0.00,0.00,0.00
1991,0.00,0.00,0.00
1992,0.00,0.00,0.00
1993,0.00,0.00,0.00
1994,0.00,0.00,0.00
1995,0.00,0.00,0.00
1996,0.00,0.00,0.00
1997,0.00,0.00,0.00
1998,0.00,0.00,0.00
1999,0.00,0.00,0.00
2000,0.00,0.00,0.00
2001,0.00,0.00,0.00
2002,0.00,0.00,0.00
2003,0.00,0.00,0.00
2004,0.00,0.00,0.00
2005,0.00,0.00,0.00
2006,0.00,0.00,0.00
2007,0.00,0.00,0.00
2008,0.00,0.00,0.00
2009,0.00,0.00,0.00
2010,0.00,0.00,0.00
2011,0.00,0.00,0.00
2012,0.00,0.00,0.00
2013,0.00,0.00,0.00
2014,0.00,0.00,0.00
2015,0.00,0.00,0.00
2016,0.00,0.00,0.00
2017,0.00,0.00,0.00
2018,0.00,0.00,0.00
2019,0.00,0.00,0.00
2020,0.00,0.00,0.00
2021,0.00,0.00,0.00
2022,0.00,0.00,0.00
2023,0.00,0.00,0.00
2024,0.00,0.00,0.00
2025,0.00,0.00,0.00
2026,0.00,0.00,0.00
2027,0.30,3.46,0.12
2028,0.61,6.98,0.23
2029,0.92,10.56,0.35
2030,1.24,14.18,0.47
2031,1.56,17.86,0.60
2032,1.89,21.59,0.72
2033,2.22,25.38,0.85
2034,2.56,29.21,0.97
2035,2.89,33.09,1.10
2036,3.24,37.02,1.23
2037,3.59,40.99,1.37
2038,3.94,45.00,1.50
2039,4.29,49.06,1.64
2040,4.65,53.16,1.77
2041,5.01,57.30,1.91
2042,5.38,61.48,2.05
2043,5.75,65.69,2.19
2044,6.12,69.94,2.33
2045,6.49,74.21,2.47
2046,6.87,78.52,2.62
2047,7.25,82.85,2.76
2048,7.63,87.20,2.91
2049,8.01,91.58,3.05
2050,8.40,95.97,3.20
2051,8.43,96.37,3.21
2052,8.46,96.75,3.23
2053,8.49,97.11,3.24
2054,8.52,97.45,3.25
2055,8.55,97.78,3.26
2056,8.58,98.09,3.27
2057,8.61,98.39,3.28
2058,8.63,98.67,3.29
2059,8.66,98.94,3.30
2060,8.68,99.20,3.31
2061,8.70,99.44,3.32
2062,8.72,99.68,3.32
2063,8.74,99.90,3.33
2064,8.76,100.11,3.34
2065,8.78,100.32,3.34
2066,8.79,100.51,3.35
2067,8.81,100.69,3.36
2068,8.82,100.87,3.36
2069,8.84,101.03,3.37
2070,8.85,101.19,3.37
2071,8.86,101.33,3.38
2072,8.88,101.46,3.38
2073,8.89,101.58,3.39
2074,8.90,101.69,3.39
2075,8.90,101.79,3.39
2076,8.91,101.88,3.40
2077,8.92,101.96,3.40
2078,8.92,102.02,3.40
2079,8.93,102.08,3.40
2080,8.93,102.12,3.40
2081,8.94,102.15,3.41
2082,8.94,102.17,3.41
2083,8.94,102.18,3.41
2084,8.94,102.18,3.41
2085,8.94,102.17,3.41
2086,8.94,102.15,3.41
2087,8.93,102.13,3.40
2088,8.93,102.09,3.40
2089,8.93,102.05,3.40
2090,8.92,102.00,3.40
2091,8.92,101.95,3.40
2092,8.91,101.88,3.40
2093,8.91,101.81,3.39
2094,8.90,101.73,3.39
2095,8.89,101.64,3.39
2096,8.88,101.55,3.39
2097,8.87,101.45,3.38
2098,8.86,101.34,3.38
2099,8.85,101.22,3.37
2100,8.84,101.10,3.37
