year,CO2,CH4,N2O
1950,4.99,39.52,1.67
1951,5.07,40.22,1.7
1952,5.17,40.97,1.73
1953,5.27,41.76,1.76
1954,5.37,42.58,1.8
1955,5.48,43.44,1.83
1956,5.59,44.32,1.87
1957,5.7,45.22,1.91
1958,5.82,46.15,1.95
1959,5.93,47.02,1.98
1960,6.03,47.81,2.02
1961,6.13,48.59,2.05
1962,6.25,49.52,2.09
1963,6.38,50.62,2.14
1964,6.53,51.75,2.18
1965,6.67,52.86,2.23
1966,6.81,53.97,2.28
1967,6.95,55.07,2.32
1968,7.09,56.2,2.37
1969,7.24,57.38,2.42
1970,7.39,58.57,2.47
1971,7.54,59.77,2.52
1972,7.69,60.96,2.57
1973,7.84,62.16,2.62
1974,7.99,63.36,2.67
1975,8.14,64.54,2.72
1976,8.29,65.7,2.77
1977,8.43,66.87,2.82
1978,8.58,68.04,2.87
1979,8.74,69.26,2.92
1980,8.89,70.51,2.98
1981,9.06,71.8,3.03
1982,9.22,73.13,3.09
1983,9.39,74.47,3.14
1984,9.56,75.81,3.2
1985,9.74,77.19,3.26
1986,9.91,78.6,3.32
1987,10.1,80.06,3.38
1988,10.28,81.52,3.44
1989,10.47,82.98,3.5
1990,10.65,84.46,3.57
1991,10.84,85.91,3.63
1992,11.01,87.29,3.68
1993,11.18,88.65,3.74
1994,11.35,89.98,3.8
1995,11.52,91.3,3.85
1996,11.68,92.62,3.91
1997,11.85,93.93,3.96
1998,12.01,95.23,4.02
1999,12.18,96.53,4.07
2000,12.34,97.84,4.13
2001,12.51,99.16,4.19
2002,12.67,100.48,4.24
2003,12.84,101.79,4.3
2004,13,103.1,4.35
2005,13.17,104.43,4.41
2006,13.34,105.77,4.46
2007,13.51,107.13,4.52
2008,13.69,108.51,4.58
2009,13.86,109.91,4.64
2010,14.04,111.32,4.7
2011,14.22,112.73,4.76
2012,14.4,114.16,4.82
2013,14.58,115.6,4.88
2014,14.76,117.02,4.94
2015,14.94,118.43,5
2016,15.11,119.83,5.06
2017,15.29,121.21,5.12
2018,15.46,122.55,5.17
2019,15.62,123.84,5.23
2020,15.77,125.04,5.28
2021,15.91,126.11,5.32
2022,16.04,127.17,5.37
2023,16.18,128.28,5.41
2024,16.32,129.4,5.46
2025,16.46,130.5,5.51
2026,16.6,131.6,5.55
2027,16.31,127.71,5.46
2028,16.02,123.73,5.36
2029,15.72,119.66,5.25
2030,15.41,115.5,5.15
2031,15.09,111.25,5.04
2032,14.76,106.91,4.93
2033,14.42,102.48,4.82
2034,14.08,97.97,4.7
2035,13.73,93.38,4.58
2036,13.37,88.7,4.46
2037,13.01,83.94,4.33
2038,12.63,79.11,4.21
2039,12.25,74.19,4.08
2040,11.87,69.2,3.95
2041,11.47,64.13,3.81
2042,11.07,58.99,3.68
2043,10.66,53.78,3.54
2044,10.25,48.5,3.4
2045,9.82,43.15,3.25
2046,9.4,37.74,3.11
2047,8.96,32.26,2.96
2048,8.52,26.73,2.81
2049,8.07,21.13,2.66
2050,7.62,15.49,2.5
2051,7.65,15.55,2.51
2052,7.68,15.61,2.52
2053,7.71,15.67,2.53
2054,7.74,15.72,2.54
2055,7.76,15.78,2.55
2056,7.79,15.83,2.56
2057,7.81,15.88,2.57
2058,7.83,15.92,2.57
2059,7.86,15.96,2.58
2060,7.88,16.01,2.59
2061,7.89,16.05,2.6
2062,7.91,16.08,2.6
2063,7.93,16.12,2.61
2064,7.95,16.15,2.61
2065,7.96,16.19,2.62
2066,7.98,16.22,2.62
2067,7.99,16.25,2.63
2068,8.01,16.28,2.63
2069,8.02,16.3,2.64
2070,8.03,16.33,2.64
2071,8.04,16.35,2.64
2072,8.06,16.37,2.65
2073,8.06,16.39,2.65
2074,8.07,16.41,2.65
2075,8.08,16.42,2.66
2076,8.09,16.44,2.66
2077,8.09,16.45,2.66
2078,8.1,16.46,2.66
2079,8.1,16.47,2.66
2080,8.11,16.48,2.66
2081,8.11,16.48,2.67
2082,8.11,16.49,2.67
2083,8.11,16.49,2.67
2084,8.11,16.49,2.67
2085,8.11,16.49,2.67
2086,8.11,16.48,2.67
2087,8.11,16.48,2.67
2088,8.11,16.47,2.66
2089,8.1,16.47,2.66
2090,8.1,16.46,2.66
2091,8.09,16.45,2.66
2092,8.09,16.44,2.66
2093,8.08,16.43,2.66
2094,8.08,16.41,2.65
2095,8.07,16.4,2.65
2096,8.06,16.39,2.65
2097,8.05,16.37,2.65
2098,8.05,16.35,2.64
2099,8.04,16.33,2.64
2100,8.03,16.31,2.64
