year,CO2,CH4,N2O
1950,4.99,39.52,1.67
1951,5.07,40.22,1.70
1952,5.17,40.97,1.73
1953,5.27,41.76,1.76
1954,5.37,42.58,1.80
1955,5.48,43.44,1.83
1956,5.59,44.32,1.87
1957,5.70,45.22,1.91
1958,5.82,46.15,1.95
1959,5.93,47.02,1.98
1960,6.03,47.81,2.02
1961,6.13,48.59,2.05
1962,6.25,49.52,2.09
1963,6.38,50.62,2.14
1964,6.53,51.75,2.18
1965,6.67,52.86,2.23
1966,6.81,53.97,2.28
1967,6.95,55.07,2.32
1968,7.09,56.20,2.37
1969,7.24,57.38,2.42
1970,7.39,58.57,2.47
1971,7.54,59.77,2.52
1972,7.69,60.96,2.57
1973,7.84,62.16,2.62
1974,7.99,63.36,2.67
1975,8.14,64.54,2.72
1976,8.29,65.70,2.77
1977,8.43,66.87,2.82
1978,8.58,68.04,2.87
1979,8.74,69.26,2.92
1980,8.89,70.51,2.98
1981,9.06,71.80,3.03
1982,9.22,73.13,3.09
1983,9.39,74.47,3.14
1984,9.56,75.81,3.20
1985,9.74,77.19,3.26
1986,9.91,78.60,3.32
1987,10.10,80.06,3.38
1988,10.28,81.52,3.44
1989,10.47,82.98,3.50
1990,10.65,84.46,3.57
1991,10.84,85.91,3.63
1992,11.01,87.29,3.68
1993,11.18,88.65,3.74
1994,11.35,89.98,3.80
1995,11.52,91.30,3.85
1996,11.68,92.62,3.91
1997,11.85,93.93,3.96
1998,12.01,95.23,4.02
1999,12.18,96.53,4.07
2000,12.34,97.84,4.13
2001,12.51,99.16,4.19
2002,12.67,100.48,4.24
2003,12.84,101.79,4.30
2004,13.00,103.10,4.35
2005,13.17,104.43,4.41
2006,13.34,105.77,4.46
2007,13.51,107.13,4.52
2008,13.69,108.51,4.58
2009,13.86,109.91,4.64
2010,14.04,111.32,4.70
2011,14.22,112.73,4.76
2012,14.40,114.16,4.82
2013,14.58,115.60,4.88
2014,14.76,117.02,4.94
2015,14.94,118.43,5.00
2016,15.11,119.83,5.06
2017,15.29,121.21,5.12
2018,15.46,122.55,5.17
2019,15.62,123.84,5.23
2020,15.77,125.04,5.28
2021,15.91,126.11,5.32
2022,16.04,127.17,5.37
2023,16.18,128.28,5.41
2024,16.32,129.40,5.46
2025,16.46,130.50,5.51
2026,16.60,131.60,5.55
2027,16.58,130.83,5.54
2028,16.56,130.02,5.52
2029,16.53,129.17,5.49
2030,16.50,128.28,5.47
2031,16.47,127.35,5.45
2032,16.43,126.37,5.42
2033,16.38,125.36,5.39
2034,16.34,124.30,5.36
2035,16.29,123.20,5.33
2036,16.23,122.07,5.30
2037,16.17,120.89,5.26
2038,16.11,119.67,5.23
2039,16.04,118.42,5.19
2040,15.97,117.12,5.15
2041,15.90,115.78,5.11
2042,15.82,114.41,5.07
2043,15.73,112.99,5.03
2044,15.65,111.54,4.98
2045,15.55,110.05,4.94
2046,15.46,108.51,4.89
2047,15.36,106.94,4.84
2048,15.25,105.33,4.79
2049,15.14,103.68,4.73
2050,15.03,102.00,4.68
2051,15.09,102.42,4.70
2052,15.15,102.82,4.72
2053,15.21,103.20,4.74
2054,15.26,103.57,4.75
2055,15.31,103.91,4.77
2056,15.36,104.25,4.78
2057,15.41,104.56,4.80
2058,15.45,104.86,4.81
2059,15.49,105.15,4.83
2060,15.53,105.42,4.84
2061,15.57,105.68,4.85
2062,15.61,105.93,4.86
2063,15.64,106.17,4.87
2064,15.68,106.40,4.88
2065,15.71,106.61,4.89
2066,15.74,106.82,4.90
2067,15.77,107.01,4.91
2068,15.79,107.20,4.92
2069,15.82,107.37,4.93
2070,15.84,107.53,4.94
2071,15.87,107.69,4.94
2072,15.89,107.83,4.95
2073,15.91,107.96,4.95
2074,15.92,108.08,4.96
2075,15.94,108.18,4.96
2076,15.95,108.27,4.97
2077,15.97,108.36,4.97
2078,15.98,108.42,4.98
2079,15.98,108.48,4.98
2080,15.99,108.52,4.98
2081,16.00,108.56,4.98
2082,16.00,108.58,4.98
2083,16.00,108.59,4.98
2084,16.00,108.59,4.98
2085,16.00,108.58,4.98
2086,16.00,108.56,4.98
2087,15.99,108.54,4.98
2088,15.99,108.50,4.98
2089,15.98,108.46,4.98
2090,15.97,108.40,4.97
2091,15.96,108.34,4.97
2092,15.95,108.28,4.97
2093,15.94,108.20,4.97
2094,15.93,108.11,4.96
2095,15.92,108.02,4.96
2096,15.90,107.92,4.95
2097,15.89,107.81,4.95
2098,15.87,107.70,4.94
2099,15.85,107.57,4.94
2100,15.83,107.44,4.93
