year,co2low,co2med,co2up,ch4low,ch4med,ch4up,n2olow,n2omed,n2oup
1950,,,,,,,,,
1951,,,,,,,,,
1952,,,,,,,,,
1953,,,,,,,,,
1954,,,,,,,,,
1955,,,,,,,,,
1956,,,,,,,,,
1957,,,,,,,,,
1958,,,,,,,,,
1959,,,,,,,,,
1960,,,,,,,,,
1961,,,,,,,,,
1962,,,,,,,,,
1963,,,,,,,,,
1964,,,,,,,,,
1965,,,,,,,,,
1966,,,,,,,,,
1967,,,,,,,,,
1968,,,,,,,,,
1969,,,,,,,,,
1970,,,,,,,,,
1971,,,,,,,,,
1972,,,,,,,,,
1973,,,,,,,,,
1974,,,,,,,,,
1975,,,,,,,,,
1976,,,,,,,,,
1977,,,,,,,,,
1978,,,,,,,,,
1979,,,,,,,,,
1980,,,,,,,,,
1981,,,,,,,,,
1982,,,,,,,,,
1983,,,,,,,,,
1984,,,,,,,,,
1985,,,,,,,,,
1986,,,,,,,,,
1987,,,,,,,,,
1988,,,,,,,,,
1989,,,,,,,,,
1990,,,,,,,,,
1991,,,,,,,,,
1992,,,,,,,,,
1993,,,,,,,,,
1994,,,,,,,,,
1995,,,,,,,,,
1996,,,,,,,,,
1997,,,,,,,,,
1998,,,,,,,,,
1999,,,,,,,,,
2000,,,,,,,,,
2001,,,,,,,,,
2002,,,,,,,,,
2003,,,,,,,,,
2004,,,,,,,,,
2005,,,,,,,,,
2006,,,,,,,,,
2007,,,,,,,,,
2008,,,,,,,,,
2009,,,,,,,,,
2010,,,,,,,,,
2011,,,,,,,,,
2012,,,,,,,,,
2013,,,,,,,,,
2014,,,,,,,,,
2015,,,,,,,,,
2016,,,,,,,,,
2017,,,,,,,,,
2018,,,,,,,,,
2019,,,,,,,,,
2020,,,,,,,,,
2021,,,,,,,,,
2022,,,,,,,,,
2023,,,,,,,,,
2024,,,,,,,,,
2025,,,,,,,,,
2026,,,,,,,,,
2027,0.03,0.08,0.16,0.70,0.90,1.48,0.01,0.03,0.05
2028,0.05,0.15,0.32,1.41,1.81,2.98,0.02,0.06,0.10
2029,0.08,0.23,0.48,2.12,2.74,4.52,0.04,0.10,0.15
2030,0.10,0.31,0.65,2.85,3.68,6.07,0.05,0.13,0.20
2031,0.13,0.40,0.81,3.59,4.63,7.65,0.06,0.17,0.26
2032,0.16,0.48,0.98,4.33,5.60,9.26,0.07,0.20,0.31
2033,0.19,0.56,1.16,5.09,6.58,10.89,0.09,0.23,0.37
2034,0.21,0.65,1.33,5.85,7.58,12.55,0.10,0.27,0.42
2035,0.24,0.73,1.51,6.62,8.58,14.23,0.11,0.31,0.48
2036,0.27,0.82,1.69,7.40,9.60,15.93,0.13,0.34,0.53
2037,0.30,0.91,1.88,8.19,10.63,17.66,0.14,0.38,0.59
2038,0.33,1.00,2.06,8.98,11.67,19.41,0.15,0.42,0.65
2039,0.36,1.09,2.25,9.78,12.73,21.18,0.17,0.45,0.71
2040,0.39,1.18,2.44,10.59,13.79,22.97,0.18,0.49,0.77
2041,0.41,1.27,2.63,11.40,14.87,24.78,0.19,0.53,0.83
2042,0.44,1.36,2.83,12.21,15.95,26.61,0.21,0.57,0.89
2043,0.47,1.45,3.02,13.03,17.04,28.45,0.22,0.61,0.95
2044,0.50,1.55,3.22,13.86,18.14,30.32,0.24,0.65,1.02
2045,0.53,1.64,3.42,14.70,19.25,32.20,0.25,0.69,1.08
2046,0.57,1.74,3.62,15.53,20.37,34.10,0.26,0.73,1.14
2047,0.60,1.83,3.83,16.37,21.49,36.01,0.28,0.77,1.21
2048,0.63,1.93,4.03,17.22,22.62,37.95,0.29,0.81,1.27
2049,0.66,2.03,4.24,18.06,23.76,39.91,0.31,0.85,1.34
2050,0.69,2.13,4.45,18.91,24.90,41.87,0.32,0.89,1.40
2051,0.69,2.13,4.47,18.96,25.00,42.09,0.32,0.89,1.41
2052,0.69,2.14,4.50,19.01,25.10,42.31,0.32,0.89,1.42
2053,0.69,2.15,4.52,19.06,25.19,42.53,0.32,0.90,1.43
2054,0.69,2.16,4.54,19.10,25.28,42.73,0.32,0.90,1.43
2055,0.70,2.17,4.56,19.14,25.37,42.94,0.33,0.90,1.44
2056,0.70,2.17,4.58,19.17,25.45,43.14,0.33,0.91,1.45
2057,0.70,2.18,4.60,19.21,25.52,43.32,0.33,0.91,1.45
2058,0.70,2.19,4.62,19.24,25.60,43.49,0.33,0.91,1.46
2059,0.70,2.19,4.64,19.27,25.67,43.66,0.33,0.92,1.46
2060,0.70,2.20,4.66,19.30,25.73,43.83,0.33,0.92,1.47
2061,0.70,2.20,4.68,19.33,25.80,44.00,0.33,0.92,1.48
2062,0.70,2.21,4.69,19.35,25.86,44.16,0.33,0.92,1.48
2063,0.70,2.21,4.71,19.36,25.92,44.33,0.33,0.92,1.49
2064,0.70,2.22,4.73,19.37,25.97,44.49,0.33,0.93,1.49
2065,0.70,2.22,4.74,19.37,26.02,44.62,0.33,0.93,1.50
2066,0.71,2.23,4.76,19.38,26.07,44.76,0.33,0.93,1.50
2067,0.71,2.23,4.77,19.39,26.12,44.90,0.33,0.93,1.51
2068,0.71,2.23,4.79,19.39,26.17,45.05,0.33,0.93,1.51
2069,0.71,2.24,4.80,19.39,26.21,45.20,0.33,0.93,1.52
2070,0.71,2.24,4.82,19.39,26.25,45.34,0.33,0.94,1.52
2071,0.70,2.24,4.83,19.38,26.29,45.49,0.33,0.94,1.53
2072,0.70,2.25,4.85,19.37,26.32,45.62,0.33,0.94,1.53
2073,0.70,2.25,4.86,19.36,26.35,45.74,0.33,0.94,1.53
2074,0.70,2.25,4.88,19.34,26.38,45.89,0.33,0.94,1.54
2075,0.70,2.25,4.89,19.32,26.41,46.03,0.33,0.94,1.54
2076,0.70,2.26,4.90,19.30,26.43,46.15,0.33,0.94,1.55
2077,0.70,2.26,4.92,19.28,26.45,46.27,0.33,0.94,1.55
2078,0.70,2.26,4.93,19.26,26.47,46.38,0.33,0.94,1.55
2079,0.70,2.26,4.94,19.24,26.48,46.49,0.33,0.94,1.56
2080,0.70,2.26,4.95,19.21,26.49,46.62,0.33,0.94,1.56
2081,0.70,2.26,4.97,19.19,26.50,46.73,0.33,0.94,1.57
2082,0.70,2.26,4.98,19.16,26.50,46.84,0.33,0.95,1.57
